the,512
a,258
he,248
i,177
of,172
and,164
to,148
was,140
his,137
rainsford,134
in,108
general,106
it,105
you,105
that,87
with,74
had,68
said,60
not,59
s,56
him,55
as,54
on,53
for,51
but,49
my,45
have,42
from,39
there,37
is,36
me,34
an,34
they,32
no,30
one,29
hunting,28
then,28
at,27
be,27
so,26
out,26
were,25
when,25
up,25
by,25
night,24
now,22
t,22
down,22
if,22
eyes,21
could,21
can,21
this,20
himself,20
zaroff,20
are,20
see,19
what,19
heard,19
man,19
made,18
hunt,18
about,18
did,18
ll,18
we,17
do,17
through,17
mr,17
will,16
some,16
all,16
sea,15
must,15
saw,15
ivan,15
thought,15
them,15
into,15
sound,15
good,14
again,14
island,14
come,13
tree,13
place,13
face,13
think,13
off,13
black,13
your,13
animal,13
been,13
like,12
new,12
why,12
game,12
where,12
jungle,12
back,12
its,11
even,11
trail,11
here,11
ve,11
came,11
hunter,11
hand,11
go,10
would,10
more,10
get,10
am,10
most,10
another,10
only,10
knew,10
men,10
along,10
yacht,9
hounds,9
very,9
well,9
or,9
has,9
whitney,9
many,9
stopped,9
m,9
great,8
light,8
nerve,8
giant,8
wish,8
life,8
sleep,8
three,8
strong,8
cossack,8
feet,8
how,8
first,8
fellow,8
lights,8
before,8
don,7
against,7
knife,7
thing,7
food,7
coming,7
never,7
give,7
smiled,7
looked,7
too,7
quarry,7
almost,7
held,7
follow,7
went,7
than,7
smile,7
big,7
find,7
bit,7
window,7
something,7
way,7
found,7
began,7
shall,7
pit,7
every,7
fear,7
after,7
oh,7
clothes,6
whole,6
should,6
put,6
pistol,6
ground,6
rest,6
cigarette,6
know,6
high,6
right,6
pack,6
away,6
reached,6
always,6
gave,6
who,6
which,6
far,6
thick,6
their,6
cry,6
sport,6
bed,6
dear,6
took,6
dark,6
toward,6
air,5
door,5
tell,5
two,5
brought,5
second,5
suggest,5
upon,5
revolver,5
dead,5
nearer,5
last,5
name,5
swamp,5
chance,5
reason,5
stood,5
hope,5
ever,5
sharp,5
enough,5
darkness,5
feel,5
pointed,5
yes,5
time,5
room,5
course,5
open,5
grew,5
over,5
rather,5
foot,5
weeds,5
called,5
world,5
say,5
just,5
shore,4
struck,4
near,4
re,4
evening,4
water,4
fall,4
strength,4
lips,4
danger,4
old,4
mind,4
cut,4
glass,4
still,4
voice,4
shook,4
pointing,4
mean,4
flight,4
lost,4
nothing,4
day,4
dangerous,4
bottle,4
tigers,4
branches,4
chateau,4
opened,4
death,4
perhaps,4
cape,4
buffalo,4
small,4
leaped,4
head,4
sometimes,4
going,4
steps,4
young,4
tried,4
bush,4
answer,4
asked,4
mine,4
evil,4
read,4
idea,4
turned,4
direction,4
real,4
sailors,4
huge,4
kind,4
suppose,4
hunted,4
left,4
want,4
faint,4
shoulders,4
seemed,4
jaguar,4
hundred,4
long,4
let,4
raised,4
climbed,4
may,4
silver,3
please,3
stakes,3
things,3
taking,3
feeling,3
stone,3
sanger,3
got,3
dozen,3
rocks,3
hours,3
morning,3
hardly,3
pressed,3
behind,3
use,3
ship,3
fresh,3
perfect,3
woods,3
explained,3
four,3
thank,3
showed,3
shot,3
cat,3
visit,3
short,3
trees,3
show,3
uniform,3
shots,3
wounded,3
knocker,3
really,3
heart,3
match,3
lay,3
any,3
mark,3
trying,3
tall,3
once,3
remarked,3
yards,3
quite,3
someone,3
god,3
entirely,3
table,3
turn,3
fox,3
sign,3
mouth,3
seen,3
such,3
dressed,3
days,3
tight,3
straight,3
sat,3
blackness,3
call,3
try,3
hall,3
large,3
